market,selection,bucket_type,bucket,sample_count,hit_count,hit_rate,avg_odds,roi,max_losing_streak,max_drawdown,league_distribution,season_distribution,positive_roi_bucket,reject_reason,backtest_scope,recommendation_generated
1X2,home,closing_fair_probability,0.0-0.1,121,8,0.066116,11.834711,-0.173554,54,-0.669421,"{""D1"": 32, ""E0"": 37, ""F1"": 25, ""I1"": 19, ""SP1"": 8}","{""2020/21"": 44, ""2021/22"": 25, ""2022/23"": 17, ""2023/24"": 17, ""2024/25"": 18}",NO,SMALL_SAMPLE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.1-0.2,824,106,0.128641,6.208131,-0.236044,33,-0.26335,"{""D1"": 111, ""E0"": 202, ""F1"": 138, ""I1"": 215, ""SP1"": 158}","{""2020/21"": 208, ""2021/22"": 158, ""2022/23"": 159, ""2023/24"": 132, ""2024/25"": 167}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.2-0.3,1392,307,0.220546,3.76982,-0.177162,31,-0.187083,"{""D1"": 211, ""E0"": 299, ""F1"": 282, ""I1"": 315, ""SP1"": 285}","{""2020/21"": 293, ""2021/22"": 285, ""2022/23"": 274, ""2023/24"": 277, ""2024/25"": 263}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.3-0.4,1706,569,0.333529,2.707304,-0.104109,14,-0.106278,"{""D1"": 303, ""E0"": 333, ""F1"": 343, ""I1"": 341, ""SP1"": 386}","{""2020/21"": 345, ""2021/22"": 342, ""2022/23"": 368, ""2023/24"": 332, ""2024/25"": 319}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.4-0.5,1767,768,0.434635,2.10807,-0.085688,12,-0.089406,"{""D1"": 332, ""E0"": 333, ""F1"": 369, ""I1"": 348, ""SP1"": 385}","{""2020/21"": 343, ""2021/22"": 350, ""2022/23"": 368, ""2023/24"": 361, ""2024/25"": 345}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.5-0.6,1322,744,0.562784,1.726483,-0.030106,8,-0.040794,"{""D1"": 212, ""E0"": 276, ""F1"": 254, ""I1"": 270, ""SP1"": 310}","{""2020/21"": 258, ""2021/22"": 255, ""2022/23"": 283, ""2023/24"": 267, ""2024/25"": 259}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.6-0.7,1032,704,0.682171,1.463266,-0.005107,6,-0.03624,"{""D1"": 169, ""E0"": 213, ""F1"": 214, ""I1"": 219, ""SP1"": 217}","{""2020/21"": 179, ""2021/22"": 240, ""2022/23"": 207, ""2023/24"": 203, ""2024/25"": 203}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.7-0.8,597,443,0.742044,1.272915,-0.05665,5,-0.071039,"{""D1"": 103, ""E0"": 138, ""F1"": 93, ""I1"": 145, ""SP1"": 118}","{""2020/21"": 112, ""2021/22"": 118, ""2022/23"": 111, ""2023/24"": 123, ""2024/25"": 133}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.8-0.9,218,184,0.844037,1.133761,-0.044312,4,-0.049587,"{""D1"": 56, ""E0"": 69, ""F1"": 32, ""I1"": 28, ""SP1"": 33}","{""2020/21"": 43, ""2021/22"": 53, ""2022/23"": 38, ""2023/24"": 40, ""2024/25"": 44}",NO,SMALL_SAMPLE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,0.9-1.0,2,2,1,1.045,0.045,0,0,"{""D1"": 1, ""F1"": 1}","{""2022/23"": 1, ""2024/25"": 1}",YES,SMALL_SAMPLE,COMPLETE_BACKTEST_ONLY,NO
1X2,home,closing_fair_probability,MISSING,0,0,0,0,0,0,0,{},{},NO,SMALL_SAMPLE,COMPLETE_BACKTEST_ONLY,NO
1X2,draw,closing_fair_probability,0.0-0.1,75,5,0.066667,11.046667,-0.28,38,-0.573333,"{""D1"": 27, ""E0"": 25, ""F1"": 14, ""I1"": 3, ""SP1"": 6}","{""2020/21"": 14, ""2021/22"": 15, ""2022/23"": 13, ""2023/24"": 17, ""2024/25"": 16}",NO,SMALL_SAMPLE,COMPLETE_BACKTEST_ONLY,NO
1X2,draw,closing_fair_probability,0.1-0.2,1502,246,0.163782,5.857856,-0.065047,26,-0.065047,"{""D1"": 321, ""E0"": 377, ""F1"": 254, ""I1"": 303, ""SP1"": 247}","{""2020/21"": 312, ""2021/22"": 315, ""2022/23"": 272, ""2023/24"": 290, ""2024/25"": 313}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,draw,closing_fair_probability,0.2-0.3,6567,1762,0.268311,3.69249,-0.022749,32,-0.037299,"{""D1"": 1168, ""E0"": 1436, ""F1"": 1372, ""I1"": 1387, ""SP1"": 1204}","{""2020/21"": 1340, ""2021/22"": 1355, ""2022/23"": 1380, ""2023/24"": 1279, ""2024/25"": 1213}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
1X2,draw,closing_fair_probability,0.3-0.4,836,265,0.316986,3.013445,-0.045742,13,-0.084725,"{""D1"": 14, ""E0"": 62, ""F1"": 110, ""I1"": 207, ""SP1"": 443}","{""2020/21"": 158, ""2021/22"": 141, ""2022/23"": 161, ""2023/24"": 166, ""2024/25"": 210}",NO,NONE,COMPLETE_BACKTEST_ONLY,NO
