market,selection,bucket_type,bucket,sample_count,hit_rate,avg_odds,roi,max_losing_streak,max_drawdown,league_distribution,season_distribution,positive_roi_bucket,phase5_reject_reason,stability_status,stability_reject_reasons,watchlist_reasons,research_only,recommendation_generated,official_written,pending_written,qq_written
1X2,home,closing_fair_probability,0.0-0.1,206,0.07767,12.26699,-0.048544,31,-0.199029,"{""B1"": 8, ""N1"": 61, ""P1"": 59, ""SC0"": 70, ""T1"": 8}","{""2020/21"": 42, ""2021/22"": 43, ""2022/23"": 44, ""2023/24"": 42, ""2024/25"": 35}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.1-0.2,675,0.111111,6.437852,-0.321111,30,-0.336296,"{""B1"": 127, ""N1"": 164, ""P1"": 182, ""SC0"": 101, ""T1"": 101}","{""2020/21"": 147, ""2021/22"": 124, ""2022/23"": 119, ""2023/24"": 147, ""2024/25"": 138}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.2-0.3,882,0.241497,3.734297,-0.112154,19,-0.136395,"{""B1"": 249, ""N1"": 173, ""P1"": 126, ""SC0"": 119, ""T1"": 215}","{""2020/21"": 241, ""2021/22"": 160, ""2022/23"": 162, ""2023/24"": 153, ""2024/25"": 166}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.3-0.4,1605,0.344548,2.677097,-0.086081,14,-0.100947,"{""B1"": 315, ""N1"": 257, ""P1"": 356, ""SC0"": 246, ""T1"": 431}","{""2020/21"": 323, ""2021/22"": 338, ""2022/23"": 317, ""2023/24"": 316, ""2024/25"": 311}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.4-0.5,1688,0.449052,2.097233,-0.062778,11,-0.077725,"{""B1"": 322, ""N1"": 267, ""P1"": 374, ""SC0"": 226, ""T1"": 499}","{""2020/21"": 330, ""2021/22"": 351, ""2022/23"": 342, ""2023/24"": 363, ""2024/25"": 302}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.5-0.6,1071,0.571429,1.721158,-0.01887,9,-0.045359,"{""B1"": 244, ""N1"": 206, ""P1"": 143, ""SC0"": 165, ""T1"": 313}","{""2020/21"": 209, ""2021/22"": 226, ""2022/23"": 197, ""2023/24"": 202, ""2024/25"": 237}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.6-0.7,655,0.667176,1.454351,-0.031496,4,-0.046,"{""B1"": 180, ""N1"": 173, ""P1"": 84, ""SC0"": 57, ""T1"": 161}","{""2020/21"": 143, ""2021/22"": 139, ""2022/23"": 119, ""2023/24"": 115, ""2024/25"": 139}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.7-0.8,506,0.810277,1.254625,0.015692,3,-0.022115,"{""B1"": 85, ""N1"": 129, ""P1"": 136, ""SC0"": 71, ""T1"": 85}","{""2020/21"": 98, ""2021/22"": 90, ""2022/23"": 94, ""2023/24"": 127, ""2024/25"": 97}",YES,NONE,WATCHLIST_RESEARCH_ONLY,NONE,WATCH_LOW_SAMPLE_MARGIN,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.8-0.9,279,0.899642,1.12724,0.012939,2,-0.012688,"{""B1"": 12, ""N1"": 92, ""P1"": 70, ""SC0"": 84, ""T1"": 21}","{""2020/21"": 33, ""2021/22"": 50, ""2022/23"": 64, ""2023/24"": 63, ""2024/25"": 69}",YES,SMALL_SAMPLE,REJECT_SMALL_SAMPLE,REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,0.9-1.0,9,0.888889,1.04,-0.076667,1,-0.111111,"{""N1"": 7, ""SC0"": 1, ""T1"": 1}","{""2021/22"": 5, ""2023/24"": 4}",NO,SMALL_SAMPLE|CONCENTRATION_RISK,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_CONCENTRATION|REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,home,closing_fair_probability,MISSING,0,0,0,0,0,0,{},{},NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,draw,closing_fair_probability,0.0-0.1,101,0.059406,11.559406,-0.247525,45,-0.455446,"{""B1"": 4, ""N1"": 46, ""P1"": 15, ""SC0"": 31, ""T1"": 5}","{""2020/21"": 13, ""2021/22"": 15, ""2022/23"": 24, ""2023/24"": 27, ""2024/25"": 22}",NO,SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,REJECT_NON_POSITIVE_ROI|REJECT_SMALL_SAMPLE,NONE,YES,NO,NO,NO,NO
1X2,draw,closing_fair_probability,0.1-0.2,1365,0.141392,6.054945,-0.177289,32,-0.195971,"{""B1"": 180, ""N1"": 390, ""P1"": 336, ""SC0"": 249, ""T1"": 210}","{""2020/21"": 237, ""2021/22"": 258, ""2022/23"": 274, ""2023/24"": 315, ""2024/25"": 281}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
1X2,draw,closing_fair_probability,0.2-0.3,5554,0.267015,3.639231,-0.043252,26,-0.044995,"{""B1"": 1332, ""N1"": 1082, ""P1"": 886, ""SC0"": 712, ""T1"": 1542}","{""2020/21"": 1185, ""2021/22"": 1120, ""2022/23"": 1062, ""2023/24"": 1114, ""2024/25"": 1073}",NO,NONE,REJECT_NON_POSITIVE_ROI,REJECT_NON_POSITIVE_ROI,NONE,YES,NO,NO,NO,NO
